audit_age,accuracy,selection_rate,TPR (Recall),FPR
<25,0.9043963712491278,0.7536636427076064,0.9469194312796209,0.21428571428571427
25-34,0.905070337010424,0.8002226495293998,0.9472468232576049,0.2521531100478469
35-44,0.8544864485571441,0.70599070256995,0.8851253616200578,0.22737520128824476
45-54,0.8124295201102619,0.5976694649793259,0.8144092219020173,0.19128242074927954
55-64,0.7992881154834882,0.5509195175004944,0.7792494481236203,0.1670201484623542
65-74,0.7829080599432969,0.5374645605508303,0.7546683837733419,0.16921397379912664
>74,0.7651775486827033,0.5406643757159221,0.7533206831119544,0.21676300578034682
