Intersection,Count,Accuracy,Selection_Rate,TPR,FPR,Approved,Denied
Black Female,1825,0.804931506849315,0.5298630136986301,0.7831325301204819,0.16353887399463807,967,858
Black Male,1638,0.811965811965812,0.5525030525030525,0.8030456852791878,0.17457886676875958,905,733
White Female,5249,0.831586968946466,0.6405029529434177,0.8441666666666666,0.1958762886597938,3362,1887
White Male,8271,0.8400435255712732,0.6745254503687583,0.8645083932853717,0.21866009042334567,5579,2692
Asian Female,785,0.8738853503184714,0.732484076433121,0.9190140845070423,0.24423963133640553,575,210
Asian Male,1593,0.8857501569365976,0.7614563716258631,0.9208163265306123,0.23097826086956522,1213,380
