audit_age,Full_accuracy,Full_selection_rate,Full_TPR,Full_FPR,Blind_accuracy,Blind_selection_rate,Blind_TPR,Blind_FPR
<25,0.9043963712491278,0.7536636427076064,0.9469194312796209,0.21428571428571427,0.9023028611304955,0.7920446615491975,0.9715639810426541,0.291005291005291
25-34,0.905070337010424,0.8002226495293998,0.9472468232576049,0.2521531100478469,0.9140775225179638,0.8406031778160106,0.9785650109100243,0.3263157894736842
35-44,0.8544864485571441,0.70599070256995,0.8851253616200578,0.22737520128824476,0.8745724059293044,0.7858959740373651,0.9538331726133076,0.33719806763285026
45-54,0.8124295201102619,0.5976694649793259,0.8144092219020173,0.19128242074927954,0.8382408219521363,0.7192081192832979,0.9273775216138328,0.3288904899135447
55-64,0.7992881154834882,0.5509195175004944,0.7792494481236203,0.1670201484623542,0.8291477160371762,0.6895392525212577,0.91359192683696,0.31283138918345704
65-74,0.7829080599432969,0.5374645605508303,0.7546683837733419,0.16921397379912664,0.823005265289591,0.7006885378695829,0.9162910495814552,0.3351528384279476
>74,0.7651775486827033,0.5406643757159221,0.7533206831119544,0.21676300578034682,0.8167239404352806,0.695303550973654,0.9240986717267552,0.3468208092485549
