audit_race,Full_accuracy,Full_selection_rate,Full_TPR,Full_FPR,Blind_accuracy,Blind_selection_rate,Blind_TPR,Blind_FPR
White,0.8503911342894394,0.7065095921028124,0.8800203355363497,0.2308362369337979,0.8721829018439188,0.7844570683553734,0.9480808337569904,0.3358885017421603
Black,0.8108465608465608,0.5661375661375662,0.8064516129032258,0.18213058419243985,0.8306878306878307,0.7116402116402116,0.9408602150537635,0.34536082474226804
Asian,0.8860759493670886,0.7768619370032381,0.9274867122247532,0.25688073394495414,0.9013835737415367,0.8310273770974389,0.972285497342445,0.34338138925294887
Other,0.8735177865612648,0.7114624505928854,0.8964285714285715,0.19095477386934673,0.8952569169960475,0.7898550724637681,0.9642857142857143,0.2989949748743719
