audit_county,accuracy,selection_rate,TPR (Recall),FPR
Bexar,0.8478033472803347,0.6871338912133891,0.8778073286052009,0.22492836676217765
Dallas,0.8365431496830814,0.658337396392004,0.8532892446919597,0.20260374288039057
Harris,0.8423970597396125,0.6628667538777798,0.8621305473703009,0.20313143798928718
Travis,0.8747631678666161,0.7161803713527851,0.9014157014157014,0.19956927494615936
