audit_sex,accuracy,selection_rate,TPR (Recall),FPR
Female,0.9054283290924512,0.7100296861747244,0.9711085862684629,0.2182818709874656
Male,0.9089612889427533,0.7335139374064304,0.9721290863369656,0.22551862592014277
