Attribute,Demographic_Parity_Diff,Equalized_Odds_Diff
Race,0.03662302295379183,0.017755516840882696
Sex,0.023484251231706055,0.00723675493267717
Age,0.17237717613947323,0.07294299858948478
County,0.025684566110598772,0.05256583778491308
