audit_race,accuracy,selection_rate,TPR (Recall),FPR
White,0.9163717638293909,0.7899981374557645,0.982015760040671,0.263588850174216
Black,0.8919753086419753,0.6723985890652557,0.9587813620071685,0.21477663230240548
Asian,0.933176332057698,0.8227848101265823,0.9874715261958997,0.254259501965924
Other,0.9472990777338604,0.7747035573122529,0.9892857142857143,0.1708542713567839
