audit_county,Full_accuracy,Full_selection_rate,Full_TPR,Full_FPR,Blind_accuracy,Blind_selection_rate,Blind_TPR,Blind_FPR
Bexar,0.8478033472803347,0.6871338912133891,0.8778073286052009,0.22492836676217765,0.8647489539748954,0.775,0.9518321513002365,0.3463467048710602
Dallas,0.8365431496830814,0.658337396392004,0.8532892446919597,0.20260374288039057,0.8570209653827401,0.7634080936128718,0.9429168116950922,0.34377542717656634
Harris,0.8423970597396125,0.6628667538777798,0.8621305473703009,0.20313143798928718,0.8679374571731141,0.7574285180340123,0.9482096615769265,0.31726411207251753
Travis,0.8747631678666161,0.7161803713527851,0.9014157014157014,0.19956927494615936,0.8891625615763546,0.7832512315270936,0.9567567567567568,0.29935391241923903
