iter	Accuracy	Logloss
62	0.8470958377	0.3702294784
63	0.8472812846	0.3698519086
64	0.8472301268	0.3695297851
65	0.8475114945	0.3690324411
66	0.8476074153	0.3683301306
67	0.8478504147	0.3679367516
68	0.8480422563	0.3675288764
69	0.8482852557	0.366759744
70	0.8482980451	0.3664285669
71	0.8485154656	0.3660968238
72	0.8486497548	0.3657059577
73	0.8486305706	0.3653600994
74	0.8487264914	0.3650488574
75	0.8489439119	0.3646067468
76	0.8495258315	0.364153323
77	0.8496473312	0.3638635268
78	0.84967291	0.3635669722
79	0.8497688309	0.3633197308
80	0.849947883	0.3630475546
81	0.8501908824	0.3627247839
82	0.850612934	0.3622945225
83	0.8506832759	0.3620954994
84	0.8508367492	0.3618180325
85	0.8507088548	0.3613300121
86	0.8509070911	0.3610347896
87	0.8510733538	0.3606551501
88	0.8512332219	0.3604364339
89	0.851412274	0.3600609142
90	0.8514890107	0.3598404579
91	0.8515465632	0.3595612104
92	0.8516296945	0.3593932591
93	0.8518407203	0.3591824545
94	0.8518854833	0.3589542186
95	0.8522627719	0.3586299965
96	0.8523075349	0.3583329883
97	0.8523395085	0.3581412201
98	0.8523139296	0.3579545663
99	0.8524034557	0.357667491
100	0.852556929	0.3573769649
101	0.8526464551	0.357043692
102	0.8526976129	0.3567902061
103	0.8527359812	0.3564694379
104	0.8527743495	0.3561990269
105	0.8528191125	0.3559662768
106	0.8528894545	0.3557170526
107	0.8530812961	0.3555119494
108	0.8532859271	0.3552219692
109	0.853266743	0.3550143493
110	0.8533306902	0.3548687572
111	0.853586479	0.3546237852
112	0.8536184526	0.3544714671
113	0.8536504262	0.3542843921
114	0.8536696104	0.3540450046
115	0.8538806361	0.3538671508
116	0.8539829517	0.3536658714
117	0.8541108461	0.3535104167
118	0.8541620038	0.3532634539
119	0.8544881346	0.353018872
120	0.854616029	0.3527312142
121	0.8547695023	0.3523418137
122	0.8548398442	0.3520943688
123	0.8549485545	0.3519916594
124	0.854935765	0.3517345609
125	0.8549805281	0.3515568609
126	0.8550188964	0.3513035633
127	0.8550636594	0.3511108599
128	0.8551723697	0.3508511645
129	0.8551148172	0.350721213
130	0.8552938694	0.350539324
131	0.855325843	0.350372234
132	0.8553322377	0.3502478262
133	0.8554281585	0.3501111883
134	0.8556263948	0.3499349386
135	0.8558374206	0.3497101789
136	0.8558502101	0.3496204225
137	0.8559908939	0.3493507227
138	0.8561379725	0.3492576183
139	0.8561827355	0.3491056708
140	0.8561763408	0.3489399353
141	0.8562019197	0.348857607
142	0.8561891303	0.3487590663
143	0.856240288	0.3484444626
144	0.856400156	0.3482581061
145	0.856355393	0.3480864331
146	0.8563426035	0.3478749436
147	0.856400156	0.3477259877
148	0.856470498	0.3476020678
149	0.8565536293	0.3473304141
150	0.8566495501	0.3470923701
151	0.8567134973	0.3470008323
152	0.8568030234	0.3467825914
153	0.856950102	0.3466679925
154	0.856950102	0.3464388524
155	0.8569692862	0.3463064733
156	0.8568541812	0.3462104889
157	0.8568605759	0.3459989514
158	0.8569117337	0.345896916
159	0.8571803119	0.3457431015
160	0.8572762327	0.3455040472
161	0.8572826275	0.3453620302
162	0.8574233113	0.3452488609
163	0.8574233113	0.3451409099
164	0.8574233113	0.3450414823
165	0.8575064427	0.3448702144
166	0.8576343371	0.344800408
167	0.8577238632	0.3446668838
168	0.8577878104	0.3446072273
169	0.8578325734	0.344539735
170	0.8578965206	0.3442980248
171	0.857934889	0.344231603
172	0.8579476784	0.3441002755
173	0.8580308098	0.3439866817
174	0.8581587042	0.3438107567
175	0.8582162567	0.3436615317
176	0.8582034672	0.3435786778
177	0.8583121775	0.3434658307
178	0.8583889141	0.3433318345
179	0.8584080983	0.3431467552
180	0.8585232032	0.3430517633
181	0.8585679663	0.3429632014
182	0.8585999399	0.3428306042
183	0.8585807557	0.3427449403
184	0.8586638871	0.3426472176
185	0.8587022554	0.3425905377
186	0.858734229	0.3425054659
187	0.858689466	0.3424295689
188	0.858734229	0.3422802453
189	0.8587853868	0.3422273663
190	0.8588621234	0.3420905524
191	0.8589132812	0.3420018676
192	0.8589772284	0.3418459803
193	0.8589068865	0.3417225034
194	0.8591307017	0.3414798314
195	0.8591562806	0.3414201069
196	0.85916907	0.3413525747
197	0.8592522014	0.341170893
198	0.8592969644	0.3411029184
199	0.8593033591	0.3409906893
200	0.8593864905	0.3408860216
201	0.8594056747	0.3408169535
202	0.8594056747	0.3406529566
203	0.8595015955	0.3404861917
204	0.8595335691	0.3403989449
205	0.8596742529	0.3403118676
206	0.8595911216	0.34024556
207	0.8596550688	0.3400350237
208	0.8597829632	0.3399432647
209	0.8597957526	0.339855405
210	0.8598277262	0.339677125
211	0.8598724893	0.3396149245
212	0.8599364365	0.339580557
213	0.8600899098	0.3394193229
214	0.8601218834	0.3393472505
215	0.860153857	0.3392159722
216	0.8601922253	0.339144202
217	0.8601602517	0.3389978723
218	0.8601794359	0.3388730855
219	0.8603201197	0.3386417827
220	0.8605055666	0.3385107025
221	0.8605695138	0.3384582496
222	0.8606270663	0.3383406062
223	0.8606654346	0.3381788716
224	0.8607357765	0.3380536469
225	0.8607805396	0.3379003467
226	0.8607997237	0.3378314787
227	0.8608572762	0.3376912194
228	0.8608892498	0.3376126471
229	0.8609020393	0.3375407272
230	0.8609468023	0.3374248982
231	0.8610043548	0.3373110198
232	0.8610491178	0.3372130361
233	0.8610874862	0.3371004161
234	0.861183407	0.3369491943
235	0.8612601436	0.3368490266
236	0.8613113014	0.3367621022
237	0.8614072222	0.3365819243
238	0.8614008275	0.3364744141
239	0.8614264064	0.3363430777
240	0.8614903536	0.336281718
241	0.861547906	0.3361663525
242	0.8616310374	0.3361014462
243	0.8616758005	0.3360085199
244	0.8616566163	0.3359067509
245	0.8616885899	0.335837763
246	0.8617013793	0.3357422025
247	0.8617589318	0.3356390888
248	0.8618356685	0.335583604
249	0.8619124051	0.3354475273
250	0.861982747	0.3353281956
251	0.8620339048	0.3352289234
252	0.8620658784	0.3350713001
253	0.8621426151	0.3349990522
254	0.8622193517	0.3348827583
255	0.8621809834	0.334792171
256	0.8622641147	0.3346541125
257	0.8621937728	0.3345858133
258	0.8621490098	0.3344978884
259	0.862372825	0.334397638
260	0.8624239828	0.3342253955
261	0.8624239828	0.334180527
262	0.8625646666	0.3340674762
263	0.8626094297	0.3339945523
264	0.8626989557	0.3339103646
265	0.8627309293	0.3338353238
266	0.8628396396	0.3337010699
267	0.8628332449	0.3335647152
268	0.8629483498	0.3334503424
269	0.8629611393	0.333347605
270	0.8630698495	0.3332524159
271	0.8631082179	0.3331781339
272	0.8631401915	0.333117287
273	0.8632233228	0.3330313835
274	0.8632105334	0.3329353231
275	0.8632808753	0.3328465175
276	0.8632552964	0.3327187087
277	0.8633192436	0.3326336999
278	0.8634343486	0.3325253679
279	0.8635558483	0.332390735
280	0.8635046905	0.3322970201
281	0.8635494536	0.332213519
282	0.8635878219	0.3321587441
283	0.8635814272	0.3320954983
284	0.8636709533	0.3320263905
285	0.863677348	0.3319548057
286	0.8636709533	0.3318652252
287	0.8636837427	0.331792652
288	0.8637540846	0.3317135492
289	0.8637540846	0.331569639
290	0.8638500054	0.3314871367
291	0.8638436107	0.3314180854
292	0.863881979	0.3313496732
293	0.8639075579	0.3312996337
294	0.8639842946	0.3312144349
295	0.863997084	0.3310864139
296	0.8640034787	0.3310241706
297	0.8640738207	0.3308935869
298	0.8641505573	0.3308152949
299	0.8642336887	0.3307705841
300	0.8641505573	0.3306708587
301	0.8641825309	0.3306183516
302	0.8642336887	0.3305304277
303	0.8643615831	0.3304627536
304	0.8643935567	0.3304112209
305	0.8644255303	0.3303490555
306	0.8645022669	0.3301944195
307	0.8644958722	0.3301267535
308	0.8645150564	0.3300094678
309	0.86454703	0.3299973285
310	0.8645790036	0.3299272775
311	0.8645662141	0.329844476
312	0.8646877138	0.329756607
313	0.8647708452	0.3296907499
314	0.8648347924	0.3296477614
315	0.8648475818	0.3295659077
316	0.864866766	0.3295259052
317	0.864822003	0.3294471344
318	0.8648411871	0.3293943381
319	0.8648731607	0.3293253357
320	0.8648795554	0.3292190474
321	0.8648923449	0.3291648349
322	0.8649307132	0.329089355
323	0.864911529	0.3289672003
324	0.8649562921	0.328883517
325	0.865026634	0.3288149723
326	0.8650458182	0.3287685272
327	0.8649754762	0.3287463324
328	0.8649946604	0.3286662686
329	0.8650777918	0.3286202206
330	0.8651609231	0.3284725332
331	0.8651737126	0.3284396876
332	0.8651801073	0.328367069
333	0.8652248703	0.3283300714
334	0.8652312651	0.328272095
335	0.8652696334	0.3282321753
336	0.865301607	0.328188177
337	0.865301607	0.328143191
338	0.8653271859	0.3281127553
339	0.8653847384	0.3279952546
340	0.8654039225	0.3279768134
341	0.8654295014	0.3279612232
342	0.8653591595	0.3279068571
343	0.8653527648	0.3278780097
344	0.8653655542	0.3278325566
345	0.8653847384	0.3277795832
346	0.8655446064	0.3277054337
347	0.8655893694	0.3276588572
348	0.8656469219	0.3276008549
349	0.8657428427	0.3275176133
350	0.8657684216	0.3274420915
351	0.8658387635	0.3273898784
352	0.8659027107	0.3273345935
353	0.8659155002	0.3273275308
354	0.8659155002	0.3272468911
355	0.8659602632	0.3271570455
356	0.8659538685	0.3271143127
357	0.8659602632	0.3270681745
358	0.8660242104	0.327022861
359	0.8660689735	0.326867972
360	0.866011421	0.3268385434
361	0.8660497893	0.3267708955
362	0.8660242104	0.32672716
363	0.866056184	0.3266791715
364	0.8660817629	0.3266227312
365	0.8661201312	0.326559641
366	0.8661265259	0.3265279358
367	0.8661329207	0.326467986
368	0.8662544204	0.3264160614
369	0.8662032626	0.3263749189
370	0.8662032626	0.3262987725
371	0.8662288415	0.3262417811
372	0.8662416309	0.326181119
373	0.8662608151	0.3261187257
374	0.8663951042	0.3260787452
375	0.86637592	0.3260560168
376	0.8663951042	0.326013103
377	0.8664654461	0.325956852
378	0.8664590514	0.3259301292
379	0.8664334725	0.3258812715
380	0.8664654461	0.3258138848
381	0.8664718408	0.3257580392
382	0.8664782356	0.3257205662
383	0.8665102092	0.3256697046
384	0.8665741564	0.3256186972
385	0.8666253141	0.3255632178
386	0.8666317089	0.3254909463
387	0.8666572877	0.3254353611
388	0.866650893	0.3254040812
389	0.8667915769	0.325340303
390	0.8668235505	0.3252967028
391	0.8668491294	0.3252375459
392	0.8668043663	0.3251907115
393	0.8669002871	0.3251011062
394	0.8668874977	0.3250318488
395	0.8669194713	0.3249358564
396	0.866925866	0.3248933935
397	0.8669386554	0.32484409
398	0.8670153921	0.3247601257
399	0.867040971	0.3246921604
400	0.8670793393	0.3246115532
401	0.867085734	0.3245317374
402	0.867085734	0.3244931353
403	0.8671752601	0.3244353153
404	0.8672072337	0.3243844276
405	0.8671944443	0.3243522119
406	0.8672264179	0.3243027391
407	0.8672136284	0.3242150404
408	0.8672136284	0.3242053721
409	0.8672775756	0.3241606713
410	0.8672903651	0.3241338785
411	0.8672711809	0.3241200669
412	0.8673926806	0.3240840787
413	0.8673287334	0.3240507757
414	0.8673415228	0.3240144974
415	0.867360707	0.3239534476
416	0.8673862859	0.3238931702
417	0.8673479176	0.3238696503
418	0.8673543123	0.323854264
419	0.8673990753	0.3237273719
420	0.8674374436	0.3236669653
421	0.8673990753	0.3236266505
422	0.8674502331	0.3235892681
423	0.8674886014	0.3235443498
424	0.8675077856	0.3234870036
425	0.8675525486	0.3234313685
426	0.86763568	0.3233656582
427	0.8676612589	0.3233255067
428	0.8676164958	0.3232932837
429	0.8676164958	0.3232671371
430	0.8676164958	0.3232582906
431	0.8676164958	0.3232416463
432	0.8676420747	0.323190509
433	0.8676548641	0.323188593
434	0.8676484694	0.3230999584
435	0.8676932325	0.3230544181
436	0.8677763638	0.3229787229
437	0.8677763638	0.3229683385
438	0.8677571797	0.3229135475
439	0.8677699691	0.3228691367
440	0.8677763638	0.3228247967
441	0.8678147322	0.322783866
442	0.8678211269	0.3227345857
443	0.8678019427	0.3227023985
444	0.8678019427	0.3226924438
445	0.8678275216	0.322654587
446	0.8678275216	0.322584314
447	0.8679170477	0.3225304157
448	0.8678978635	0.3224837351
449	0.8680385474	0.3224359835
450	0.8680513368	0.3223916481
451	0.8680193632	0.3223679936
452	0.868070521	0.3223042167
453	0.8681088893	0.3222287113
454	0.868115284	0.3222072709
455	0.8681536523	0.3221685078
456	0.8681024946	0.3221456605
457	0.8680960999	0.3220966274
458	0.8681600471	0.3220467369
459	0.8682175995	0.3219843022
460	0.8682048101	0.3219592061
461	0.8682559679	0.3218736653
462	0.8683135204	0.3218216435
463	0.8683646781	0.3217817791
464	0.8683646781	0.3217520984
465	0.868345494	0.3217200238
466	0.868345494	0.3216839158
467	0.868390257	0.3215826377
468	0.868390257	0.3215496082
469	0.8684414148	0.3215048867
470	0.8684925725	0.3214510722
471	0.868550125	0.3214076263
472	0.868550125	0.3214031914
473	0.8685757039	0.3213691607
474	0.8685629145	0.3213219019
475	0.8685757039	0.3212825861
476	0.8685757039	0.3212810188
477	0.8686204669	0.3212505367
478	0.8686396511	0.3212192005
479	0.8686972036	0.3211828272
480	0.8687419666	0.3211656213
481	0.8687611508	0.3211419501
482	0.8688059138	0.3210534137
483	0.8688123086	0.3210270558
484	0.8688442822	0.3209326029
485	0.868869861	0.320893485
486	0.8689465977	0.3208097356
487	0.8690169396	0.3207605698
488	0.8690297291	0.3206739394
489	0.8690233343	0.3206414543
490	0.8690233343	0.3206027602
491	0.8690361238	0.3205944671
492	0.8690553079	0.3205686307
493	0.8690425185	0.3205499531
494	0.8690808868	0.3205256661
495	0.8691512287	0.3204506012
496	0.8691384393	0.3203820432
497	0.8691768076	0.320349073
498	0.8692343601	0.3202987879
499	0.8692919126	0.320252739
