iter	Passed	Remaining
400	19485	4810
401	19531	4761
402	19582	4713
403	19624	4663
404	19675	4615
405	19718	4565
406	19765	4516
407	19814	4467
408	19858	4418
409	19905	4369
410	19953	4320
411	19990	4269
412	20027	4218
413	20072	4169
414	20112	4119
415	20157	4070
416	20204	4021
417	20251	3972
418	20294	3923
419	20340	3874
420	20385	3825
421	20436	3777
422	20486	3729
423	20537	3681
424	20574	3630
425	20617	3581
426	20660	3532
427	20707	3483
428	20757	3435
429	20802	3386
430	20849	3337
431	20890	3288
432	20941	3240
433	20979	3190
434	21031	3142
435	21076	3093
436	21123	3045
437	21165	2995
438	21226	2949
439	21281	2902
440	21334	2854
441	21385	2806
442	21431	2757
443	21479	2709
444	21518	2659
445	21560	2610
446	21601	2561
447	21649	2512
448	21691	2463
449	21736	2415
450	21783	2366
451	21824	2317
452	21870	2269
453	21916	2220
454	21951	2171
455	22010	2123
456	22056	2075
457	22103	2026
458	22156	1979
459	22204	1930
460	22258	1883
461	22309	1835
462	22357	1786
463	22409	1738
464	22469	1691
465	22530	1643
466	22581	1595
467	22637	1547
468	22692	1499
469	22736	1451
470	22786	1403
471	22834	1354
472	22872	1305
473	22916	1257
474	22965	1208
475	23018	1160
476	23054	1111
477	23105	1063
478	23162	1015
479	23216	967
480	23266	919
481	23316	870
482	23377	822
483	23429	774
484	23477	726
485	23522	677
486	23567	629
487	23607	580
488	23656	532
489	23705	483
490	23747	435
491	23797	386
492	23844	338
493	23880	290
494	23926	241
495	23986	193
496	24030	145
497	24077	96
498	24131	48
499	24180	0
